M,N,K,torch (TFLOPS),naive (TFLOPS),rowed (TFLOPS),grouped (TFLOPS)
256.000000,256.000000,256.000000,3.350083,0.007455,0.011678,0.026774
512.000000,512.000000,512.000000,14.899836,0.007260,0.000811,0.002951
1024.000000,1024.000000,1024.000000,27.656650,0.007051,0.000702,0.002604
