M,N,K,torch (TFLOPS),naive (TFLOPS),rowed (TFLOPS),grouped (TFLOPS)
256.000000,256.000000,256.000000,3.276800,0.007343,0.011409,0.088562
512.000000,512.000000,512.000000,14.691083,0.007146,0.000799,0.090700
1024.000000,1024.000000,1024.000000,27.605458,0.007045,0.000758,0.088380
