M,N,K,naive (TFLOPS),rowed (TFLOPS),grouped (TFLOPS)
256.000000,256.000000,256.000000,0.007454,0.011587,0.026560
512.000000,512.000000,512.000000,0.007259,0.000810,0.002924
1024.000000,1024.000000,1024.000000,0.007026,0.000758,0.002606
