M,N,K,naive (TFLOPS),rowed (TFLOPS),grouped (TFLOPS)
256.000000,256.000000,256.000000,0.007397,0.011496,0.363710
512.000000,512.000000,512.000000,0.007170,0.000614,0.051401
1024.000000,1024.000000,1024.000000,0.005725,0.000758,0.048619
